                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.098,                 4.4495,                 1.7749,                      0,                      0,                      0,                      0,                0.79151,                 3.9246,                0.94512,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.0239,                 4.4803,                 1.7077,                      0,                      0,                      0,                      0,                0.77714,                 3.9099,                0.93675,               0.095498,             0.00049835,             0.00049835
                      2,                 2.0998,                  4.495,                 1.6415,                      0,                      0,                      0,                      0,                0.66749,                 3.8343,                0.89138,               0.092795,             0.00079472,             0.00079472
                      3,                 1.9264,                 4.3695,                 1.5985,                0.00135,                 0.0625,                0.00103,                 0.0001,                0.57637,                 3.8001,                0.86118,               0.090089,              0.0010891,              0.0010891
                      4,                 2.0893,                 4.2515,                 1.7135,                0.00135,                 0.0625,                0.00103,                 0.0001,                0.61887,                 3.7978,                 0.8663,               0.087382,              0.0013815,              0.0013815
                      5,                 1.7644,                 4.0065,                 1.4991,                0.00129,                 0.0625,                0.00092,                  9e-05,                0.72586,                 3.7578,                0.89279,               0.084672,               0.001672,               0.001672
                      6,                 1.7321,                 3.9567,                  1.487,                0.00129,                 0.0625,                0.00092,                  9e-05,                0.77133,                 3.7272,                0.91091,                0.08196,              0.0019604,              0.0019604
                      7,                 1.9724,                   3.85,                 1.5913,                0.00129,                 0.0625,                0.00092,                  9e-05,                 0.7216,                 3.6884,                0.89452,               0.079247,              0.0022469,              0.0022469
                      8,                  1.957,                 3.6678,                 1.5706,                0.00129,                 0.0625,                0.00092,                  9e-05,                0.62945,                  3.611,                0.87249,               0.076531,              0.0025314,              0.0025314
                      9,                 1.5949,                 3.3917,                 1.4064,                 0.0013,                 0.0625,                0.00108,                0.00108,                 0.6881,                 3.5063,                0.87121,               0.073814,              0.0028139,              0.0028139
                     10,                 1.9838,                 3.3599,                 1.7445,                0.01341,                  0.875,                0.41114,                0.28699,                0.73599,                 3.3696,                0.89351,               0.071094,              0.0030944,              0.0030944
                     11,                 1.7363,                 2.9101,                  1.493,                0.01593,                      1,                0.55586,                0.40232,                0.77378,                 3.3579,                0.89652,               0.068373,              0.0033729,              0.0033729
                     12,                 1.9268,                 2.8826,                 1.6427,                0.01204,                 0.8125,                0.18186,                0.15246,                0.81283,                 3.3969,                0.91321,                0.06565,              0.0036495,              0.0036495
                     13,                 1.9902,                 2.7268,                 1.5437,                0.01342,                  0.875,                0.26116,                0.19675,                0.86688,                 3.3397,                0.93058,               0.062924,              0.0039241,              0.0039241
                     14,                 1.8027,                  2.602,                  1.459,                0.01586,                      1,                0.53893,                0.39666,                0.91388,                 3.3184,                0.99331,               0.060197,              0.0041967,              0.0041967
                     15,                 1.7031,                 2.4796,                 1.3084,                0.01586,                      1,                0.44747,                0.31697,                0.86936,                  3.378,                0.97979,               0.057467,              0.0044673,              0.0044673
                     16,                 1.7348,                 2.5473,                 1.3378,                 0.0013,                 0.0625,                0.00073,                0.00073,                0.96916,                 3.5085,                 1.0039,               0.054736,               0.004736,               0.004736
                     17,                 1.7845,                 2.5352,                 1.4836,                 0.0013,                 0.0625,                0.00073,                0.00073,                 1.3632,                 3.5726,                 1.0629,               0.052003,              0.0050027,              0.0050027
                     18,                 1.9635,                 2.5213,                 1.4814,                0.01445,                 0.9375,                0.37451,                0.31219,                0.90547,                 3.3549,                 0.9551,               0.049267,              0.0052674,              0.0052674
                     19,                 1.7516,                 2.3148,                 1.3702,                 0.0156,                      1,                0.61749,                0.46053,                 1.0047,                 3.2349,                0.95099,                0.04653,              0.0055301,              0.0055301
                     20,                 1.8157,                 2.2199,                 1.3844,                0.01543,                      1,                0.61645,                0.52161,                0.74002,                 3.2111,                0.90377,               0.043791,              0.0057908,              0.0057908
                     21,                 1.6883,                 2.1105,                 1.3342,                0.01571,                      1,                  0.573,                0.43189,                0.86606,                 3.2251,                0.92337,                0.04105,              0.0060495,              0.0060495
                     22,                 1.7208,                 2.1493,                 1.3272,                 0.0153,                      1,                0.63298,                0.48889,                0.82984,                 2.9017,                0.90717,               0.038306,              0.0063063,              0.0063063
                     23,                 1.8269,                  2.098,                 1.3899,                0.01551,                      1,                0.61557,                0.50452,                0.71005,                 3.1392,                 0.9049,               0.035561,              0.0065611,              0.0065611
                     24,                 1.7724,                 2.1574,                 1.3274,                0.01555,                      1,                0.62193,                  0.439,                0.92178,                 2.9667,                0.93116,               0.032814,              0.0068139,              0.0068139
                     25,                 1.6748,                 2.0832,                 1.2979,                0.01524,                      1,                0.60836,                0.46169,                0.73931,                 3.0295,                0.91787,               0.030065,              0.0070648,              0.0070648
                     26,                  1.693,                 2.2268,                 1.3495,                0.01549,                      1,                 0.7818,                0.65464,                0.71854,                 2.5629,                0.90382,               0.027314,              0.0073136,              0.0073136
                     27,                 1.5144,                 1.9458,                 1.2534,                0.01561,                      1,                 0.6965,                0.45096,                0.94635,                 2.8918,                0.96324,                0.02456,              0.0075605,              0.0075605
                     28,                 1.5993,                 1.8477,                 1.2811,                0.01561,                      1,                 0.6965,                0.45096,                0.94635,                 2.8918,                0.96324,               0.021805,              0.0078054,              0.0078054
                     29,                 1.5087,                  1.861,                 1.2944,                0.61701,                0.19572,                0.67841,                0.54007,                0.76815,                 2.5864,                0.88555,               0.019048,              0.0080483,              0.0080483
